"brand","content","post_date","reactions","comments","shares","post_url","video_views","post_time"
"Telstra","Calling all starbucks lovers",2023-08-11,268,72,12,"https://facebook.com/Telstra/posts/685130210323324",0,"16:00"
"Telstra","Meet two of our absolute faves, Geoff and Taffy",2023-08-08,1100,146,214,"https://facebook.com/Telstra/posts/683364653833213",0,"17:30"
"Telstra","No caption, this might be an event post?",2023-08-07,170,323,13,"https://facebook.com/Telstra/posts/682501773919501",0,"12:15"
"Telstra","*me innocently opening a pack of rhinestones in the 2000s*my flip phone for the next 3 years:",2023-08-03,4400,925,226,"https://facebook.com/Telstra/posts/679360230900322",0,"18:15"
"Telstra","RIP to all the family computers lost to various viruses in the 2000s",2023-07-25,1800,675,109,"https://facebook.com/Telstra/posts/674702434699435",0,"16:00"
"Telstra","Opening Linkin_Park_-_Meteora_-_Breaking_The_Habit.exe on your family computer used to be the fastest way to learn about viruses",2023-07-17,513,353,31,"https://facebook.com/Telstra/posts/669629355206743",0,"16:45"
"Telstra","Update 7:35PM AEST: And, we're back! Thanks for being so patient. We know it's a real pain when you can't get to your email.",2023-07-09,538,0,49,"https://facebook.com/Telstra/posts/664563772379968",0,"18:45"
"Telstra","Queensland legend Billy Moore & Gocsy are here to help NSW Blues fans secure their passwords (promise it's not a stitch up).",2023-06-26,1300,739,196,"https://facebook.com/Telstra/posts/655594283276917",0,"17:30"
"Telstra","Doing my bit to help NSW Blues fans strengthen their passwords #origin",2023-06-21,568,290,47,"https://facebook.com/Telstra/posts/652563646913314",0,"15:00"
"Telstra","Alright, hear me outâ€¦ these are cool again",2023-06-09,1000,795,26,"https://facebook.com/Telstra/posts/644911451011867",0,"17:30"
"Telstra","No caption, this might be an event post?",2023-05-14,1000,0,40,"https://facebook.com/Telstra/posts/10159622718949315",0,"09:15"
"Telstra","6:05PM UPDATE All calls should now be back to normal, so there's no need to add area codes when calling landlines from mobiles. Sorry for any hassle caused today and thanks for sticking with us",2023-05-09,1300,0,0,"https://facebook.com/Telstra/posts/10159613227709315",0,"07:30"
"Telstra","Activating smart lights with my phone is about as close to the Force as I'll ever get",2023-05-04,2800,386,132,"https://facebook.com/Telstra/posts/10159603344924315",0,"12:15"
"Telstra","stunning",2023-04-05,4300,0,103,"https://facebook.com/Telstra/posts/10159545132534315",0,"16:00"
"Telstra","How do you know when someone gets up early on their first alarm?",2023-04-03,131,183,4,"https://facebook.com/Telstra/posts/10159542078189315",0,"15:30"
"Telstra","dooht duht duht dooht duht duht dooht",2023-03-31,2000,602,91,"https://facebook.com/Telstra/posts/10159537336009315",0,"15:45"
"Telstra","No caption, this might be an event post?",2023-03-27,601,962,15,"https://facebook.com/Telstra/posts/10159531218019315",0,"16:00"
"Telstra","No caption, this might be an event post?",2023-03-24,332,191,35,"https://facebook.com/Telstra/posts/10159526042974315",0,"13:45"
"Telstra","It's me. Hi. I'm the problem it's me.",2023-03-20,3000,855,286,"https://facebook.com/Telstra/posts/10159513442539315",0,"16:45"
"Telstra","Me: ""I'm going to keep my tabs to a minimum""Also me:",2023-03-14,131,205,5,"https://facebook.com/Telstra/posts/10159507836859315",0,"17:00"
"Telstra","No caption, this might be an event post?",2023-03-05,285,290,44,"https://facebook.com/Telstra/posts/10159492052474315",0,"18:30"
"Telstra","Emoticons walked so emojis could run",2023-03-02,231,173,23,"https://facebook.com/Telstra/posts/10159486689954315",0,"16:30"
"Telstra","No caption, this might be an event post?",2023-02-27,5100,857,155,"https://facebook.com/Telstra/posts/10159481217314315",0,"17:00"
"Telstra","No caption, this might be an event post?",2023-02-17,2900,0,460,"https://facebook.com/Telstra/posts/10159461902189315",0,"16:45"
"Telstra","9:10PM UPDATE: Good news! The P!nk pre-sale should now be working again. There are plenty of tickets available for Telstra customers ready for a Feel Good Time.",2023-02-13,1900,0,247,"https://facebook.com/Telstra/posts/10159454145344315",0,"12:00"
"Telstra","No caption, this might be an event post?",2023-02-07,1500,315,107,"https://facebook.com/Telstra/posts/10159444095529315",0,"19:00"
"Telstra","No caption, this might be an event post?",2023-02-06,184,202,6,"https://facebook.com/Telstra/posts/10159441820219315",0,"18:45"
"Telstra","POV every dads belt in 1999",2023-02-03,16000,0,974,"https://facebook.com/Telstra/posts/10159436812179315",0,"17:00"
"Telstra","""Life is easy when you learn to read the signs""",2023-01-31,1000,302,78,"https://facebook.com/Telstra/posts/10159430936329315",0,"15:00"
"Telstra","No caption, this might be an event post?",2023-01-29,1600,454,94,"https://facebook.com/Telstra/posts/10159427048114315",0,"12:15"
"Telstra","No caption, this might be an event post?",2023-01-20,118,237,7,"https://facebook.com/Telstra/posts/10159411039449315",0,"18:00"
"Telstra","My new years' resolution is to delete random numbers like 'Gavin Washing Machine' from my phone",2023-01-04,908,759,39,"https://facebook.com/Telstra/posts/10159381708269315",0,"15:30"
"Telstra","No caption, this might be an event post?",2022-12-22,631,616,27,"https://facebook.com/Telstra/posts/10159356259894315",0,"14:45"
"Telstra","You might've heard that some of our customers' details incorrectly appeared in the White Pages and Directory Assistance. We're so sorry to those we've let down.",2022-12-11,477,991,43,"https://facebook.com/Telstra/posts/10159335224369315",0,"16:45"
"Telstra","Call Santa and his crew for free from any of our payphones:",2022-12-05,4200,0,0,"https://facebook.com/Telstra/posts/10159324582554315",0,"17:15"
"Telstra","You screen-recorded 121 minutes of Hinge voice notes You picked your phone up 3280 times for no reason You papped 985 dogs You retook 674 BeReals You watched 390 UberEats drivers deliver dinner You took 237 minutes of pixelated concert footage You made 1 special birthday call to dad",2022-12-02,185,265,5,"https://facebook.com/Telstra/posts/10159318801149315",0,"09:45"
"Telstra","Myers Briggs who?",2022-12-01,57,50,10,"https://facebook.com/Telstra/posts/10159317697249315",0,"18:00"
"Telstra","If email scams were people...",2022-11-29,1700,453,102,"https://facebook.com/Telstra/posts/10159314051549315",0,"12:00"
"Telstra","do Do DO DO DO doo doo DEE-Duh-DEE-Duh-EEEEEEEEE-chchchchHCHCHCHCHCH-*ding**ding**ding**",2022-11-28,398,476,32,"https://facebook.com/Telstra/posts/10159312811834315",0,"17:30"
"Telstra","No caption, this might be an event post?",2022-11-25,595,206,24,"https://facebook.com/Telstra/posts/10159307519504315",0,"17:45"
"Telstra","Take me back",2022-11-18,506,249,75,"https://facebook.com/Telstra/posts/10159275405634315",0,"12:15"
"Telstra","I feel like the people who leave their phone on loud and the people who put Christmas decorations up in November have a lot in common.",2022-11-11,1100,839,49,"https://facebook.com/Telstra/posts/10159244965924315",0,"12:30"
"Telstra","POV: me plugging in my phone with a 1m cable",2022-11-10,265,122,13,"https://facebook.com/Telstra/posts/10159242148854315",0,"16:30"
