"brand","tagged_users","username","numbers","interactions","comments","post_date","post_caption","post_url"
"Optus","","optus","29","likes",0,2023-08-07,"Optus Ambassadors, @fabiancoulthard @nickpercat @mackhorton @elliecoleswim sharing a message of support for fellow ambassador @stephcatley ahead of tonight's big game. #itstartswithyes","https://www.instagram.com/p/CvofEdQtq_C/"
"Optus","stephcatley","optus","30","likes",0,2023-07-31,"It's game time. Tonight we'll be cheering on Optus Ambassador @stephcatley. Good luck from your friends at Optus and @optussport. #itstartswithyes","https://www.instagram.com/p/CvWbv4wSjb3/"
"Optus","","optus","111","likes",0,2023-07-12,"A lot of Australia has never had mobile coverage. Optus and SpaceX are pioneering a type of connectivity never before seen in our country by working to bring mobile coverage to 100% of Australia, starting with SMS from late 2024. Check our website to find out more.It starts with yes","https://www.instagram.com/p/Culqxk_JSRj/"
"Optus","danielricciardo","optus","16,121","likes",0,2023-07-12,"Huge congratulations to our one and only Chief of Optimism â€“ we can't wait to see you back out there racing again. Good luck in Hungary next week, the whole country is behind you. #itstartswithyes","https://www.instagram.com/p/Cuk2FPmy_hU/"
"Optus","","optus","3,046","likes",0,2023-06-30,"We sit down with Australian footballer and Optus ambassador @stephcatley to discuss women's football in Australia, her future beyond future, and the best advice she has for the next generation of players.Â If you haven't already, watch Part 1: Getting Started, and Part 2: Going Strong, where Steph discusses a range of topics including her earliest football memories, overcoming her biggest challenge and what motivates her to be better every day.","https://www.instagram.com/p/CuGUyjpNQdC/"
"Optus","","ausgp","461","likes",0,2023-04-02,"Fans can test their skills by jumping into the driver's seat with @optus ðŸŽï¸Based in the Fan Zone, the OPTU5G VR Track Tour returns in 2023 ðŸ†#AusGP","https://www.instagram.com/p/CqhDDCwg3aX/"
"Optus","","danielricciardo","331,690","likes",39,2023-03-31,"Not sure I'm a great sales rep. Appreciate @optus & @fitzywippakate for letting me try ðŸ¤·ðŸ»â€â™‚ï¸","https://www.instagram.com/p/CqbcUY-BqIT/"
"Optus","","ausgp","9,464","likes",30,2023-03-30,"Keen for a spin around the circuit? ðŸ—ºï¸Get in the drivers seat of a @f1 car with @danielricciardo in an adrenaline fuelled VR experience showcasing the power of the @optus 5G network, as the OPTUS 5G VR Track Tour returns to Fan Zone. Link in bio ðŸ”—","https://www.instagram.com/p/CqZQh2BD9cN/"
"Optus","","optus","80","likes",0,2023-03-17,"Happy St Patrick's Day from all of us at Optus! ðŸ€#optuslife #itstartswithyes","https://www.instagram.com/p/Cp3jQg3LYwF/"
"Optus","nickpercat, walkinshawandrettiunited, chazmozzie","optus","74","likes",1,2023-03-10,"Best of luck to our friends @walkinshawandrettiunited as they hit the track for the first race of the season this weekend in Newcastle. Bring it on.#itstartswithyes #walkandunite","https://www.instagram.com/p/Cpleo9WS9vq/"
"Optus","nickpercat, walkinshawandrettiunited, chazmozzie","optus","74","likes",1,2023-03-10,"Best of luck to our friends @walkinshawandrettiunited as they hit the track for the first race of the season this weekend in Newcastle. Bring it on.#itstartswithyes #walkandunite","https://www.instagram.com/p/Cpleo9WS9vq/"
"Optus","","optus","74","likes",0,2023-03-08,"Optus is excited to offer the beautiful new yellow colour for iPhone 14 and iPhone 14 Plus. With the most impressive dual-camera system on iPhone. Capture stunning photos in low light and bright light.Pre-order starts on Saturday, 11th March at 12:00am AEDT.T&Cs apply. 5G available in selected areas (excl. NT) and on selected plans. See website for offers and coverage details.","https://www.instagram.com/p/CphDK51r4kw/"
"Optus","","optus","77","likes",0,2023-03-06,"Great things happen when we say yes to lifting each other up. Thanks to everyone who shared their messages of support and inspiration. This is what it looks like to say yes to Pride and dream big â€“ and it's gorgeous! â€‹#SydneyWorldPride2023 #WorldPride #Optus #PrideStartsWithYesâ€‹","https://www.instagram.com/p/CpbRPk7DSnH/"
"Optus","","optus","69","likes",0,2023-03-05,"We're making every moment count for our farewell to the @sydneyworldpride celebrations. Our rainbow community is shining so bright, its radiance will leave its mark on the foundations for an even brighter future of diversity and inclusion. Come on down to share your shine with us at our Optus chill-out space.â€‹#SydneyWorldPride2023 #WorldPride #Optus #PrideStartsWithYesâ€‹","https://www.instagram.com/p/CpZx8U0Du43/"
"Optus","","optus","54","likes",0,2023-03-04,"@sydneyworldpride is all about saying yes to our true selves, embracing our differences and celebrating our diversity. Thank you to everyone who came by and got involved in this truly special day at the Bondi Beach Party. â€‹#SydneyWorldPride2023 #WorldPride #Optus #PrideStartsWithYes","https://www.instagram.com/p/CpXTsoADdig/"
